"","y","tx"
"1",-11.419,1
"2",2.403,1
"3",5.796,1
"4",-15.819,1
"5",11.856,1
"6",-6.977,1
"7",0.866,1
"8",13.838,1
"9",18.364,1
"10",-1.404,1
"11",-2.643,1
"12",-3.083,1
"13",8.071,1
"14",-12.517,1
"15",3.695,1
"16",1.041,1
"17",2.947,1
"18",-5.684,1
"19",8.644,1
"20",-7.729,1
"21",10.11,1
"22",-3.555,1
"23",1.114,1
"24",6.688,1
"25",4.884,1
"26",-10.715,1
"27",7.88,1
"28",4.456,1
"29",-1.511,1
"30",-3.662,1
"31",7.032,1
"32",-4.022,1
"33",-6.919,1
"34",-18.953,1
"35",-2.21,1
"36",-1.353,1
"37",-0.216,1
"38",-0.645,1
"39",4.505,1
"40",-1.574,1
"41",19.059,1
"42",0.367,1
"43",2.431,1
"44",-7.89,1
"45",4.087,1
"46",22.851,1
"47",11.754,1
"48",1.2,1
"49",-4.938,1
"50",14.83,1
"51",41.84,2
"52",-5.469,2
"53",-0.477,2
"54",-4.167,2
"55",-0.185,2
"56",-5.637,2
"57",50.099,2
"58",-34.638,2
"59",-5.79,2
"60",31.232,2
"61",-46.808,2
"62",16.73,2
"63",-24.008,2
"64",27.815,2
"65",-35.108,2
"66",-29.814,2
"67",16.758,2
"68",33.722,2
"69",15.018,2
"70",-26.572,2
"71",26.164,2
"72",-41.397,2
"73",32.734,2
"74",27.861,2
"75",4.926,2
"76",67.176,2
"77",4.983,2
"78",27.128,2
"79",19.294,2
"80",10.335,2
"81",16.481,2
"82",41.165,2
"83",34.982,2
"84",-15.795,2
"85",-2.807,2
"86",-41.591,2
"87",62.47,2
"88",-5.239,2
"89",26.568,2
"90",-3.768,2
"91",15.053,2
"92",-5.25,2
"93",-44.441,2
"94",19.563,2
"95",-15.101,2
"96",41.051,2
"97",-3.29,2
"98",4.132,2
"99",25.589,2
"100",-12.736,2
"101",77.031,3
"102",17.904,3
"103",21.676,3
"104",3.609,3
"105",40.718,3
"106",-2.259,3
"107",31.624,3
"108",30.581,3
"109",-14.446,3
"110",-0.146,3
"111",82.433,3
"112",13.273,3
"113",-28.086,3
"114",11.683,3
"115",-45.446,3
"116",12.402,3
"117",-5.327,3
"118",17.361,3
"119",20.02,3
"120",18.002,3
"121",-24.03,3
"122",48.963,3
"123",89.995,3
"124",29.185,3
"125",58.657,3
"126",22.84,3
"127",46.527,3
"128",29.399,3
"129",15.441,3
"130",8.553,3
"131",-18.22,3
"132",54.776,3
"133",62.541,3
"134",21.095,3
"135",12.815,3
"136",51.24,3
"137",49.849,3
"138",24.923,3
"139",-30.352,3
"140",39.813,3
"141",43.261,3
"142",1.691,3
"143",5.438,3
"144",72.078,3
"145",32.739,3
"146",42.458,3
"147",32.325,3
"148",46.094,3
"149",-28.203,3
"150",-36.844,3
