"CB","NO2","PM"
31.03,1,1
63.58,1,2
49.41,2,1
15.98,2,2
27.73,1,1
42.52,1,2
0.76,2,1
61.19,2,2
9.51,1,1
32.95,1,2
56.84,2,1
73.83,2,2
20.34,1,1
26.13,1,2
23.97,2,1
53.84,2,2
1.25,1,1
38.44,1,2
31.99,2,1
43.89,2,2
12.02,1,1
48.05,1,2
14.95,2,1
57.8,2,2
16.16,1,1
33.43,1,2
42.95,2,1
47.65,2,2
2.25,1,1
46.57,1,2
38.62,2,1
35.23,2,2
15.95,1,1
44.92,1,2
22.15,2,1
24.72,2,2
13.75,1,1
26.97,1,2
27.33,2,1
37.74,2,2
21.81,1,1
40.01,1,2
26.91,2,1
75.18,2,2
23.78,1,1
35.99,1,2
14.64,2,1
46.1,2,2
67.45,1,1
54.09,1,2
32.29,2,1
28.57,2,2
51.87,1,1
60.83,1,2
23.84,2,1
35.81,2,2
17.92,1,1
29.13,1,2
23.71,2,1
73.96,2,2
5.06,1,1
24.9,1,2
51.53,2,1
0.86,2,2
33.69,1,1
11.15,1,2
48.95,2,1
9.68,2,2
1.42,1,1
41.91,1,2
53.4,2,1
47.49,2,2
1.02,1,1
49,1,2
3.26,2,1
60.86,2,2
42.08,1,1
32.98,1,2
78.64,2,1
39.92,2,2
