"MCAS","district","L_M"
239.48,1,1
210.92,1,2
263.42,2,1
240.26,2,2
235.64,3,1
274.26,3,2
263.89,1,1
238.92,1,2
235.26,2,1
247.83,2,2
249.64,3,1
223.07,3,2
235.4,1,1
243.67,1,2
246.12,2,1
242.77,2,2
250.75,3,1
232.37,3,2
247.86,1,1
234.74,1,2
242.56,2,1
266.81,2,2
243.45,3,1
226.57,3,2
243.53,1,1
250.3,1,2
237.46,2,1
246.7,2,2
247.62,3,1
239.57,3,2
214.78,1,1
204.83,1,2
236.1,2,1
251.19,2,2
233.54,3,1
246.13,3,2
236.97,1,1
238.59,1,2
277.41,2,1
254.53,2,2
238.68,3,1
232.06,3,2
236.16,1,1
286.03,1,2
263.22,2,1
256.15,2,2
224.37,3,1
276.19,3,2
257.79,1,1
235.52,1,2
238.04,2,1
248.67,2,2
231.82,3,1
241.13,3,2
264.02,1,1
213.52,1,2
234.03,2,1
275.38,2,2
196.65,3,1
258.01,3,2
208.11,1,1
260.63,1,2
211.91,2,1
229.33,2,2
244.61,3,1
270.83,3,2
237.55,1,1
219.6,1,2
258.13,2,1
220.59,2,2
256.66,3,1
266.4,3,2
229.94,1,1
290.32,1,2
242.15,2,1
272.28,2,2
246.52,3,1
253.18,3,2
238.66,1,1
270.7,1,2
264.78,2,1
239.9,2,2
229.85,3,1
214.01,3,2
273.35,1,1
235.7,1,2
258.44,2,1
248.98,2,2
243.32,3,1
241.43,3,2
192.7,1,1
254.4,1,2
227,2,1
282.79,2,2
229.48,3,1
248.5,3,2
245.53,1,1
230.04,1,2
277.6,2,1
254.3,2,2
236.79,3,1
238.99,3,2
242.87,1,1
229.6,1,2
249.4,2,1
262.17,2,2
214.35,3,1
236.66,3,2
268.78,1,1
239.25,1,2
212.31,2,1
250.43,2,2
195.1,3,1
244.45,3,2
214.28,1,1
241.79,1,2
242.19,2,1
254.36,2,2
208.4,3,1
267.16,3,2
273.48,1,1
249.13,1,2
266.19,2,1
257.36,2,2
252.22,3,1
255.01,3,2
227.17,1,1
236.32,1,2
218.44,2,1
277.2,2,2
262.17,3,1
249.85,3,2
225.54,1,1
262.83,1,2
260.72,2,1
258.66,2,2
204.47,3,1
261.47,3,2
244.45,1,1
232.06,1,2
233.13,2,1
287.95,2,2
243.66,3,1
263.12,3,2
