"gph","sensor_reading"
61.9,60.2
53.5,49.6
52.1,52.2
57.3,55.6
73.8,69.4
60.2,64.2
79.2,86.9
55,50
63.8,60.6
55.2,55.9
56.9,59.7
73.2,69.7
52.9,49.8
63.6,64.6
52.5,54.5
66.8,63.5
50.3,51.3
79.6,79.4
59.5,59.2
69.2,69.2
58.9,56.6
79.9,78.1
77.2,78.1
79.7,75.2
52,50.7
68.8,66.4
64.7,66.1
79.1,75.2
60.9,56.4
70.4,65.5
57.9,56.2
55.6,56.7
55.6,50.5
61.4,61.5
75.4,73.8
64.9,65.6
73.7,75
75.2,74
63.7,60.3
74,76.2
61.5,59.9
72.8,71.2
63.1,65
77.1,76.4
59.6,59.2
52.5,51.3
74.5,72.9
77,79.1
79,81.1
67.2,65.4
71.6,66.6
73.2,74.1
68.8,67.9
71.7,70.9
61.6,68
54.9,52.8
55.6,58.1
61.7,59.9
58.2,56.2
55.8,50.1
65.1,64.4
72.9,69.9
70.8,66.1
66.3,60.5
69.8,60.8
64.1,60.7
64.5,63
60.1,60
62.7,64
58.6,61.6
68,61.4
75.2,77.9
68.6,68.4
54,48.8
67,65.5
63.3,68.3
63.1,63.6
68.7,70
78,74.7
76.7,72.9
76.4,77.5
57.3,55.6
72.2,74.3
61.6,61.4
52.4,48.7
52.8,55.5
72.9,73.6
60.4,59.2
62.5,64.2
60.3,55.9
50.3,45.1
77.3,81.5
55.5,54.9
71.7,72.6
67.2,66.2
66.2,66.7
60.6,56.3
74.7,69.4
55.6,49.7
61.9,58.1
64.6,61
64.9,63.3
61.6,54.5
69.3,68.3
60.3,64.2
78.7,74.2
51.3,51.1
73,71.2
56.1,55.6
70.5,68.8
61.9,65
51.8,46.1
72.1,71.9
68.7,70.6
68.9,66.6
67,62
73.7,74.7
55.5,53
75,74
65.9,61.9
64.2,64.3
66.9,64.2
56.6,56.4
71.2,67.7
59.6,55.6
72.8,74.2
54.8,60.1
68.8,70
53.2,57
76,75.3
73.4,78.4
73.4,70
65.2,69.6
76.3,68.5
69.7,68.1
76.9,76.9
74.3,73.8
72.7,73.6
74.2,68.4
70,63.9
65.4,64.1
55.3,53.1
66.9,63.1
58.1,61.2
71.6,71
55.8,56.1
77.7,76.1
51.5,51.6
79,78.4
52.8,49.9
77.1,75.5
55.6,56.4
56.1,50.8
58.7,55.5
74,74.4
64.3,56.6
73.1,69.9
79.8,86.6
74.3,71.9
69,66.6
75.4,72.8
65.1,63.3
69.9,67.5
65.3,66
65.7,63.5
60.4,55
74.3,73.3
56.4,51.5
62.7,59.1
61.3,58.9
73.5,72.7
60.9,58.2
71.9,64.8
61.4,62
71.4,70.2
51.1,50.5
65,59.8
71.6,71.4
