"mpg","vehicle","windspeed"
17.1,1,2.2
22.1,1,2.7
23.1,1,-4.2
-2.1,1,-16.1
11.8,1,-5.4
39.4,1,10.2
18.7,1,4.1
19,1,-0.6
30.4,1,8.7
0.8,1,-12.7
15.7,1,-8.2
29.5,1,1.1
25.1,1,4
15.8,1,-6.4
1.8,1,-15.4
39.3,1,14.6
1.9,1,-16.2
6.2,1,-8.4
-1.4,1,-9.1
12.8,1,-6.6
-11.1,1,-18.1
6.7,1,-12.1
32.4,1,8.1
3.2,1,-22.9
8.1,1,-8.3
-3.2,1,-14.2
36.4,1,7.4
29.3,1,3
36.1,1,4.6
34.5,1,3.8
15.6,1,-3.4
27.1,1,-0.5
29.4,1,-4.9
23.4,1,-8
19.9,1,-1.3
20.5,1,8.9
1.6,1,-7.9
17.2,1,-3.8
28.9,1,-0.4
15.3,1,-4.2
27.2,2,16.4
28.7,2,11.8
-1.5,2,-1.2
-7.4,2,-15.6
40.5,2,15.5
-0.1,2,-11.2
11.7,2,-0.8
31.3,2,11.8
9.3,2,-3.4
-6.9,2,-12.5
25,2,11.3
1.9,2,-6.9
4.3,2,-12.3
6.4,2,-9.8
21.4,2,7.9
25.3,2,4.6
30.7,2,10.3
7.1,2,-5.1
10.4,2,1.3
-4,2,-10.2
6.8,2,-6.9
0,2,-4.9
23.7,2,2.5
14.9,2,6
3.9,2,-4.4
10.2,2,-2.7
0.1,2,-6.6
27.6,2,9.2
11.7,2,-1.4
10.4,2,-8.1
11.6,2,5.5
4.4,2,-3.4
16.4,2,0.6
14.5,2,6.8
4,2,-2.6
22.1,2,6.5
9.7,2,-2.8
13.7,2,7
32.7,2,20.3
-11.9,2,-10.8
4.5,2,-6.3
13.6,2,-2.1
24.8,2,7.5
2.1,2,-13.9
15.7,2,-1.3
7.5,2,1.8
-0.7,2,-6
14.1,2,-6.2
26.9,3,6.3
10,3,1.6
13.2,3,3.1
18.2,3,3.4
22.5,3,6
22.9,3,7.4
16.2,3,-2.7
25.9,3,0.9
0.8,3,-3.8
26.3,3,8.9
18.1,3,-3.8
18.1,3,9
28.5,3,14.4
17.4,3,6
3.8,3,-5.6
0.1,3,-5.9
0,3,-5.9
2.1,3,-3.2
10.7,3,1.3
15.1,3,5.4
22.8,3,7.1
20.5,3,5.1
0.1,3,-10.7
4.9,3,1.1
32.9,3,13.5
2.4,3,0
12.1,3,-4.1
17.9,3,2.4
6.1,3,-6
17.5,3,10.2
30.1,3,10.5
27.4,3,8.2
9.4,3,1.6
2,3,-0.8
4.4,3,-14.6
12.3,3,-5.6
6.7,3,-5
10,3,-5.9
18.6,3,1.1
6.3,3,-3.4
19.5,3,5.2
16.1,3,1.6
0.6,3,-5.4
-0.3,3,-5.2
15,3,12.1
8.7,3,-8.5
-5.9,3,-10.3
21.8,3,3.1
7.7,3,0.8
34.4,3,14.3
8.9,3,2.8
12.1,3,0.8
2.9,4,2.3
-7.2,4,-5.9
-8.6,4,-11.1
9.7,4,-2.3
-1.9,4,-10.2
14.6,4,-1.3
-4.7,4,-6.3
-4.7,4,-9.6
-1.1,4,-4.7
3.1,4,1.4
5.6,4,-1
31.6,4,5.5
6.9,4,-1.9
11,4,0.1
22.3,4,2.7
20.2,4,9
3.3,4,-5.8
21.6,4,6.5
12.8,4,1.3
20.6,4,6
1.6,4,-10.4
6.1,4,-1.4
-3.7,4,-9.3
-2.4,4,-7.1
9.6,4,1.5
19.5,4,3
6.3,4,4
13.2,4,2.5
-7.6,4,-10.6
7.3,4,-2.7
11.9,4,-0.5
8.5,4,-0.9
9.2,4,-5.9
18.9,4,6.1
26.3,4,21.1
17.1,4,2
28.7,4,11.5
5.8,5,-6.6
17.8,5,1
-8.8,5,-16.7
25.1,5,11
8.4,5,-2
-8.1,5,-3.9
9.8,5,0.3
10,5,5.6
13.7,5,-1.1
15.9,5,5.2
4.4,5,-1.8
27.9,5,14
18.6,5,5.4
26.2,5,9.1
14.9,5,3
-5.5,5,-10.6
8.4,5,-7.6
26,5,11.2
25.5,5,8.4
7,5,-1.4
26.8,5,13.6
-8.1,5,-15.2
16,5,10
-6.7,5,-13.2
25.2,5,14.7
2.8,5,-3.5
-4.2,5,-7.1
13,5,-4.5
-0.4,5,-2.5
10.2,5,-3.4
8.7,5,-6.2
15.1,5,3.1
31.4,5,10.2
6.9,5,-1.3
22.1,5,8
14.6,5,1.9
8.6,5,-6.1
1.5,5,2.9
-5.2,5,-12.4
-17.2,5,-21.6
20.4,5,2.5
21.2,5,11
37.8,5,15.4
-12.1,5,-13.7
0.5,5,-5.6
