"","gap"
"1",0.09974
"2",0.00956
"3",0.040247
"4",0.084258
"5",0.001488
"6",0.016563
"7",0.011733
"8",0.08191
"9",0.192811
"10",0.019577
"11",0.064262
"12",0.00079
"13",0.017194
"14",0.143403
"15",0.174333
"16",0.142545
"17",0.013178
"18",0.006929
"19",0.030827
"20",0.044019
"21",0.053598
"22",0.127884
"23",0.118386
"24",0.144442
"25",0.216623
"26",0.115706
"27",0.133964
"28",0.058708
"29",0.077514
"30",0.111893
"31",0.033243
"32",0.035542
"33",0.253268
"34",0.010432
"35",0.110327
"36",0.107495
"37",0.110643
"38",0.105339
"39",0.033312
"40",0.008465
"41",0.10373
"42",0.087041
"43",0.028481
"44",0.053336
"45",0.091302
"46",0.103451
"47",0.042365
"48",0.037219
"49",0.109668
"50",0.129286
"51",0.003395
"52",0.283557
"53",0.119521
"54",0.037124
"55",0.032799
"56",0.091941
"57",0.192183
"58",0.087442
"59",0.047645
"60",0.026378
"61",0.021631
"62",0.077504
"63",0.060056
"64",0.018075
"65",0.097698
"66",0.035586
"67",0.131268
"68",0.048616
"69",0.14983
"70",0.197441
"71",0.100209
"72",0.011487
"73",0.352832
"74",0.038716
"75",0.010713
"76",0.083795
"77",0.014848
"78",0.103196
"79",0.084461
"80",0.065252
"81",0.230654
"82",0.009518
"83",0.069756
"84",0.052408
"85",0.027354
"86",0.019412
"87",0.242794
"88",0.13834
"89",0.203914
"90",0.01279
"91",0.066702
"92",0.000684
"93",0.012422
"94",0.034765
"95",0.041219
"96",0.090119
"97",0.136546
"98",0.033232
"99",0.015405
"100",0.055539
"101",0.104972
"102",0.013086
"103",0.049609
"104",0.271539
"105",0.104815
"106",0.000869
"107",0.172853
"108",0.032677
"109",0.019127
"110",0.077628
"111",0.013627
"112",0.006534
"113",0.033094
"114",0.291002
"115",0.022398
"116",0.089123
"117",0.046904
"118",0.183313
"119",0.093735
"120",0.013363
"121",0.04524
"122",0.179517
"123",0.032442
"124",0.003691
"125",0.112739
"126",0.00819
"127",0.062302
"128",0.00232
"129",0.002686
"130",0.00267
"131",0.051413
"132",0.695794
"133",0.094866
"134",0.023402
"135",0.288482
"136",0.041536
"137",0.024555
"138",0.111815
"139",0.097714
"140",0.136669
"141",0.131774
"142",0.001793
"143",0.187052
"144",0.079999
"145",0.0353
"146",0.100283
"147",0.256834
"148",0.029209
"149",0.008988
"150",0.205507
"151",0.008043
"152",0.02387
"153",0.019319
"154",0.01241
"155",0.073784
"156",0.145232
"157",0.026734
"158",0.016883
"159",0.035689
"160",0.093401
"161",0.064534
"162",0.102929
"163",0.064387
"164",0.008957
"165",0.081626
"166",0
"167",0.089591
"168",0.0096
"169",0.238846
"170",0.04809
"171",0.090734
"172",0.022116
"173",0.045112
"174",0.055233
"175",0.009985
"176",0.190808
"177",0.021267
"178",0.119995
"179",0.01637
"180",0.043502
"181",0.212266
"182",0.127871
"183",0.020365
"184",0.064782
"185",0.016215
"186",0.009912
"187",0.10818
"188",0.113734
"189",0.266753
"190",0.083569
"191",0.046138
"192",0.089454
"193",0.002086
"194",0.294884
"195",0.008849
"196",0.075641
"197",0.256909
"198",0.159879
"199",0.043813
"200",0.006177
"201",0.105641
"202",0.059735
"203",0.102409
"204",0.001805
"205",0.021878
"206",0.204917
"207",0.050931
"208",0.024835
"209",0.153848
"210",0.095129
"211",0.053739
"212",0.140895
"213",0.131628
"214",0.29319
"215",0.009493
"216",0.05129
"217",0.081711
"218",0.041412
"219",0.082534
"220",0.070313
"221",0.072894
"222",0.006374
"223",0.082524
"224",0.097115
"225",0.023491
"226",0.009782
"227",0.07712
"228",0.006424
"229",0.065564
"230",0.007853
"231",0.172654
"232",0.192856
"233",0.072854
"234",0.081677
"235",0.252946
"236",0.039386
"237",0.027957
"238",0.017784
"239",0.11045
"240",0.241556
"241",0.020325
"242",0.062628
"243",0.087478
"244",0.045423
"245",0.026843
"246",0.096361
"247",0.015155
"248",0.02204
"249",0.387036
"250",0.034128
"251",0.044823
"252",0.060953
"253",0.00111
"254",0.174826
"255",0.058288
"256",0.159884
"257",0.009387
"258",0.01654
"259",0.075063
"260",0.101844
"261",0.014033
"262",0.005783
"263",0.02937
"264",0.095555
"265",0.01314
"266",0.03571
"267",0.117291
"268",0.015045
"269",0.089724
"270",0.022943
"271",0.125781
"272",0.093687
"273",0.105306
"274",0.064671
"275",0.006082
"276",0.005382
"277",0.055463
"278",0.021952
"279",0.231353
"280",0.031257
"281",0.131242
"282",0.013646
"283",0.039523
"284",0.017134
"285",0.058005
"286",0.048051
"287",0.02752
"288",0.039075
"289",0.085855
"290",0.053613
"291",0.146579
"292",0.034504
"293",0.046333
"294",0.068132
"295",0.056154
"296",0.063983
"297",0.085043
"298",0.002021
"299",0.034293
"300",0.087287
"301",0.080452
"302",0.300948
"303",0.154087
"304",0.042403
"305",0.173541
"306",0.056428
"307",0.081141
"308",0.037028
"309",0.01401
"310",0.009573
"311",0.076207
"312",0.08268
"313",0.01984
"314",0.032825
"315",0.013564
"316",0.045222
"317",0.058266
"318",0.020787
"319",0.007195
"320",0.142347
"321",0.004678
"322",0.291984
"323",0.096447
"324",0.058145
"325",0.26025
"326",0.047865
"327",0.035245
"328",0.036932
"329",0.006308
"330",0.103198
"331",0.000548
"332",0.08644
"333",0.20736
"334",0.016264
"335",0.168738
"336",0.334053
"337",0.243921
"338",0.046227
"339",0.087893
"340",0.015447
"341",0.058589
"342",0.047497
"343",0.074338
"344",0.013283
"345",0.032525
"346",0.075155
"347",0.101192
"348",0.056743
"349",0.085272
"350",0.063588
"351",0.204865
"352",0.004686
"353",0.007492
"354",0.020096
"355",0.027119
"356",0.266933
"357",0.043888
"358",0.113875
"359",0.052969
"360",0.002573
"361",0.271387
"362",0.117692
"363",0.075291
"364",0.162683
"365",0.046404
"366",0.130727
"367",0.150698
"368",0.096441
"369",0.034627
"370",0.036491
"371",0.074899
"372",0.010271
"373",0.067485
"374",0.097987
"375",0.115264
"376",0.706848
"377",0.139127
"378",0.041937
"379",0.014458
"380",0.173172
"381",0.054565
"382",0.025423
"383",0.067402
"384",0.084183
"385",0.046834
"386",0.031435
"387",0.070029
"388",0.000725
"389",0.140879
"390",0.040198
"391",0.031648
"392",0.022054
"393",0.183972
"394",0.039577
"395",0.038287
"396",0.06777
"397",0.035883
"398",0.179351
