"y","x","grp"
-2.3,1,1
3.26,2,1
-4.69,3,1
-2.22,4,1
6.52,5,1
0.97,6,1
-6.63,7,1
2.92,8,1
8.07,9,1
-8.24,10,1
4.99,11,1
0.56,12,1
9.45,13,1
6.23,14,1
2.71,15,1
-5.2,16,1
-5.49,17,1
2.5,18,1
-3.17,19,1
12.09,20,1
18.91,21,1
9.26,22,1
-3.86,23,1
11.24,24,1
7.6,25,1
2.13,26,1
-7.34,27,1
9.02,28,1
-8.08,29,1
4.08,30,1
22.3,31,1
14.6,32,1
6.74,33,1
10.31,34,1
5.29,35,1
23.37,36,1
24.31,37,1
16.09,38,1
10.44,39,1
1.79,40,1
1.25,1,2
-9.19,2,2
0.85,3,2
-11.05,4,2
-10.57,5,2
7.4,6,2
-2.3,7,2
-2.37,8,2
5.53,9,2
4.57,10,2
-5.67,11,2
-2.71,12,2
-16.88,13,2
-9.68,14,2
1.57,15,2
-5.26,16,2
-0.57,17,2
0.54,18,2
-3.8,19,2
-4.59,20,2
-3.21,21,2
-2.13,22,2
5.78,23,2
-5.72,24,2
11.84,25,2
-20.09,26,2
-1.86,27,2
-1.15,28,2
-13.76,29,2
-0.23,30,2
-20.97,31,2
-0.21,32,2
3.13,33,2
-21.6,34,2
-7.29,35,2
-12.82,36,2
-19.1,37,2
-2.55,38,2
-25.32,39,2
-26.49,40,2
