"","detector","moths"
"1",1,252
"2",2,271
"3",3,261
"4",4,228
"5",5,266
"6",6,238
"7",7,264
"8",8,235
"9",9,259
"10",10,241
"11",11,244
"12",12,226
"13",13,258
"14",14,226
"15",15,236
"16",16,250
"17",17,237
"18",18,264
"19",19,268
"20",20,228
"21",21,247
"22",22,244
"23",23,229
"24",24,242
"25",25,243
"26",26,263
"27",27,273
"28",28,248
"29",29,245
"30",30,242
"31",31,254
"32",32,248
"33",33,212
"34",34,243
"35",35,243
"36",36,249
"37",37,234
"38",38,257
"39",39,250
"40",40,251
"41",41,257
"42",42,252
"43",43,281
"44",44,264
"45",45,231
"46",46,242
"47",47,234
"48",48,274
"49",49,223
"50",50,256
"51",51,253
"52",52,269
"53",53,231
"54",54,261
"55",55,223
"56",56,234
"57",57,264
"58",58,253
"59",59,228
"60",60,251
"61",61,281
"62",62,249
"63",63,289
"64",64,252
"65",65,262
"66",66,241
"67",67,256
"68",68,250
"69",69,254
"70",70,269
"71",71,265
"72",72,235
"73",73,230
"74",74,281
"75",75,241
"76",76,269
"77",77,252
"78",78,252
"79",79,222
"80",80,256
"81",81,235
"82",82,232
"83",83,247
"84",84,266
"85",85,243
"86",86,246
"87",87,250
"88",88,260
"89",89,234
"90",90,253
"91",91,252
"92",92,230
"93",93,243
"94",94,244
"95",95,248
"96",96,228
"97",97,243
"98",98,223
"99",99,247
"100",100,233
"101",101,261
"102",102,281
"103",103,252
"104",104,266
"105",105,248
"106",106,260
"107",107,252
"108",108,245
"109",109,249
"110",110,230
"111",111,268
"112",112,248
"113",113,244
"114",114,266
"115",115,274
"116",116,236
"117",117,257
"118",118,259
"119",119,238
"120",120,232
