"pressure","hour"
101.383,1
101.87,1
101.612,1
100.78,1
101.317,1
101.448,1
100.609,1
101.684,1
100.952,1
101.257,1
101.761,1
101.937,1
101.169,1
101.121,1
101.103,1
101.537,1
100.737,1
101.367,1
101.264,1
101.338,1
101.002,1
101.559,1
100.923,1
101.616,1
101.085,1
101.267,1
101.483,1
101.413,1
100.807,1
101.529,1
100.415,2
99.488,2
99.154,2
100.816,2
99.098,2
98.648,2
96.778,2
99.38,2
99.513,2
99.689,2
99.623,2
100.423,2
99.478,2
102.685,2
99.78,2
100.101,2
98.497,2
100.358,2
103.274,2
101.55,2
99.909,2
98.956,2
102.027,2
102.088,2
99.233,2
99.534,2
99.312,2
99.552,2
99.223,2
102.587,2
99.171,3
99.606,3
100.165,3
98.987,3
99.946,3
99.331,3
100.113,3
99.164,3
99.244,3
99.946,3
100.202,3
99.92,3
99.292,3
100.088,3
99.069,3
100.187,3
100.114,3
99.768,3
100.707,3
99.768,3
100.103,3
99.984,3
99.849,3
99.942,3
100.314,3
100.221,3
99.455,3
99.651,3
99.066,3
100.636,3
