"","speed"
"1",65.2
"2",74.3
"3",69.5
"4",53.9
"5",63.9
"6",66.4
"7",50.7
"8",70.8
"9",57.1
"10",62.8
"11",72.3
"12",75.6
"13",61.2
"14",60.3
"15",59.9
"16",68.1
"17",53.1
"18",64.9
"19",62.9
"20",64.3
"21",58
"22",68.5
"23",56.6
"24",69.5
"25",59.6
"26",63
"27",67.1
"28",65.7
"29",54.4
"30",67.9
"31",65.4
"32",61.1
"33",59.5
"34",67.3
"35",59.3
"36",57.1
"37",48.4
"38",60.6
"39",61.2
"40",62
"41",61.7
"42",65.5
"43",61
"44",76.1
"45",62.5
"46",64
"47",56.4
"48",65.2
"49",78.8
"50",70.7
"51",63.1
"52",58.6
"53",73
"54",73.3
"55",59.9
"56",61.3
"57",60.3
"58",61.4
"59",59.8
"60",75.6
"61",51.6
"62",59.8
"63",70.3
"64",48.2
"65",66.2
"66",54.6
"67",69.3
"68",51.5
"69",53
"70",66.2
"71",71
"72",65.7
"73",53.9
"74",68.8
"75",49.7
"76",70.7
"77",69.3
"78",62.8
"79",80.4
"80",62.8
"81",69.1
"82",66.9
"83",64.4
"84",66.1
"85",73.1
"86",71.3
"87",57
"88",60.6
"89",49.7
"90",79.1
"91",60
"92",69
"93",60.4
"94",65.7
"95",60
"96",48.9
"97",67
"98",57.2
"99",73
"100",60.5
"101",62.6
"102",68.7
"103",57.8
"104",76.1
"105",62.4
