"","hours"
"1",100
"2",362
"3",16
"4",604
"5",688
"6",2383
"7",27
"8",510
"9",654
"10",362
"11",166
"12",750
"13",743
"14",1772
"15",696
"16",485
"17",330
"18",40
"19",1533
"20",842
"21",543
"22",1291
"23",522
"24",1336
"25",48
"26",646
"27",1612
"28",920
"29",922
"30",147
"31",1201
"32",2142
"33",22
"34",319
"35",788
"36",121
"37",193
"38",635
"39",473
"40",273
"41",146
"42",1464
"43",1016
"44",2927
"45",140
"46",791
"47",785
"48",889
"49",168
"50",1023
"51",559
"52",124
"53",474
"54",863
"55",160
"56",187
"57",1385
"58",1312
"59",1975
"60",14
"61",505
"62",64
"63",685
"64",114
"65",495
"66",525
"67",688
"68",1835
"69",90
"70",681
"71",2202
"72",28
"73",714
"74",478
"75",141
"76",2871
"77",64
"78",1892
"79",27
"80",1776
"81",1387
"82",183
"83",759
"84",518
"85",278
"86",142
"87",604
"88",385
"89",46
"90",3224
"91",797
"92",114
"93",167
"94",404
"95",671
"96",240
"97",461
"98",31
"99",1052
"100",176
"101",300
"102",294
"103",372
"104",1424
"105",1290
"106",802
"107",1679
"108",66
"109",393
"110",174
"111",143
"112",87
"113",698
"114",2425
"115",3089
"116",1459
"117",1468
"118",76
"119",781
"120",376
"121",666
"122",114
"123",229
"124",130
"125",695
"126",410
"127",301
"128",1330
"129",1585
"130",227
"131",132
"132",505
"133",112
"134",318
"135",1785
"136",853
"137",199
"138",1691
"139",844
"140",1940
"141",3521
"142",582
"143",1058
"144",1790
"145",1215
"146",1686
"147",687
"148",436
"149",179
"150",175
"151",263
"152",81
"153",398
"154",1376
"155",89
"156",213
"157",733
"158",605
"159",344
"160",749
"161",994
"162",449
"163",105
"164",2520
"165",270
"166",285
"167",3169
"168",1260
"169",1190
"170",152
"171",2631
"172",331
"173",328
"174",642
"175",2686
"176",15
"177",238
"178",19
"179",285
"180",22
"181",1465
"182",649
"183",477
"184",906
"185",32
"186",3343
"187",876
"188",748
"189",681
"190",436
"191",809
"192",1041
"193",233
"194",1511
"195",521
"196",236
"197",500
"198",617
"199",699
"200",1301
"201",1450
"202",129
"203",134
"204",200
"205",387
"206",679
"207",1347
"208",201
"209",994
"210",16
"211",901
"212",19
"213",183
"214",109
"215",3399
"216",83
"217",653
"218",1708
"219",1058
"220",948
"221",345
"222",4357
"223",489
"224",176
"225",227
"226",1415
"227",402
"228",28
"229",519
"230",1696
"231",170
"232",165
"233",353
"234",138
"235",322
"236",2390
"237",426
"238",133
"239",611
"240",273
"241",190
"242",1120
"243",10
"244",380
"245",813
"246",555
"247",377
"248",322
"249",398
"250",607
"251",880
"252",2392
"253",1007
"254",825
"255",1807
"256",3222
"257",1935
"258",668
"259",1158
"260",41
"261",246
"262",617
"263",1084
"264",56
"265",773
"266",35
"267",397
"268",534
"269",465
"270",366
"271",1041
"272",437
"273",838
"274",582
"275",597
"276",37
"277",1676
"278",1252
"279",230
"280",1945
"281",640
"282",77
"283",120
"284",1893
"285",188
"286",324
"287",1222
"288",190
"289",132
"290",463
"291",681
"292",458
"293",350
"294",142
"295",966
"296",96
"297",1100
"298",499
"299",1553
"300",465
"301",1059
"302",27
"303",1904
"304",2401
"305",483
"306",1004
"307",704
"308",2745
"309",1364
"310",2586
"311",72
"312",454
"313",1463
"314",221
"315",446
"316",204
"317",68
"318",464
"319",626
"320",824
"321",570
"322",1415
"323",171
"324",427
"325",755
"326",688
"327",380
"328",2289
"329",635
"330",324
"331",712
"332",197
"333",663
"334",401
"335",267
"336",1000
"337",424
"338",138
"339",1920
"340",608
"341",224
"342",729
"343",16
"344",1862
"345",226
"346",100
"347",152
"348",784
"349",20
"350",864
"351",1005
"352",471
"353",603
"354",288
"355",172
"356",224
"357",792
"358",323
"359",172
"360",347
"361",728
"362",580
"363",694
"364",739
"365",1914
"366",1131
"367",742
"368",346
"369",2557
"370",1070
"371",476
"372",737
"373",319
"374",619
