"","pressure","windspeed","humidity","temperature"
"1",845.8,126.9,96.2,69.7
"2",951.6,122.5,98.1,83.5
"3",718.4,126.8,98.5,86.1
"4",967.1,128.1,97.3,92.3
"5",816.1,136.7,98,97.4
"6",888.5,156.3,99.2,89.9
"7",894.6,121.7,96.3,87.9
"8",930.1,146.6,97.6,85.9
"9",1058.7,135.7,97.9,96.3
"10",929.6,122,98.1,80.7
"11",818,141.5,97.9,75.2
"12",766.6,124.5,96.4,70.9
"13",938.9,138.5,97,85.9
"14",890,120.1,96.9,61.4
"15",965,135.4,97.2,85.1
"16",926.7,136.5,99.3,80
"17",851.4,139.7,97.1,79.8
"18",821.9,101,98.2,89
"19",853.9,128.2,98.8,96.4
"20",868.8,125.4,99.3,71.6
"21",1059.7,103.2,96.1,84.5
"22",904.7,131.6,96.4,87.1
"23",904.8,127,99.2,90.5
"24",1170.4,130.6,97,75.8
"25",758.9,137.9,98.6,74.8
"26",868.2,137.5,96,77.6
"27",922.4,116.2,96.5,73.7
"28",705.3,126.5,98.2,78.8
"29",747.9,143.9,98.5,66.7
"30",906.2,141.2,96.3,91.6
"31",765.5,132,97.8,70.7
"32",763.1,136.8,96.1,82
"33",930.4,134,96.9,74.1
"34",950.5,118.1,96.4,97
"35",1018.8,140.8,97.1,82.6
"36",859.7,130.5,97.4,78
"37",953.5,137.5,97.7,90.6
"38",845.1,138.4,96.2,79.2
"39",795.2,110,99.2,78.4
"40",957.1,128.4,96.5,83.2
"41",847.3,110.8,99.2,66.3
"42",1145.2,149,96.2,62.8
"43",857.7,136.3,99.2,85.7
"44",754.8,98.9,98.5,82.5
"45",999.6,132.8,99,77.4
"46",996.7,139.4,98.3,91.5
"47",793.4,134.1,97.3,76.9
"48",1058.1,134.4,97.9,78.9
"49",979.8,130.8,97.2,82.7
"50",929,128.3,96.3,79.7
"51",1050.3,127.5,96.2,73.6
"52",924.8,143.2,97.2,73
"53",892.7,133.6,98.4,79
"54",869.5,129.6,98.9,77.3
"55",816.1,123.1,96.8,71.2
"56",1040.6,147,96.9,83.4
"57",772.2,131.2,96.8,95.3
"58",753.1,144.5,98.4,87
"59",823.2,110.2,96.7,82
"60",920,140.9,96.5,73.8
"61",1046,149.9,96.3,86.1
"62",1030.8,131.1,97.4,71.3
"63",946.6,123,98.1,80
"64",1137.7,121.7,97.2,77.2
"65",1016.5,128.6,96.9,87.6
"66",887.9,114.9,97.3,71.8
"67",975.7,133.1,99,85.5
"68",1070.1,129.3,97,72.8
"69",885,129,98.8,83.1
"70",896.7,122,97.1,87.8
"71",1101.8,144.8,97.6,83.2
"72",850.9,146,98.5,70.2
"73",1049,127,97.7,97
"74",1150.4,120.3,99.3,98.7
"75",855,110.3,96.7,77.1
"76",918.1,114.4,97.5,95.2
"77",967.7,124.8,97.6,72.4
"78",862.9,130.2,96.9,80.1
"79",916,128.5,96.1,82.9
"80",1051.8,109.4,97.1,94
"81",856.2,145.9,97.2,89.7
"82",747.7,131.9,98.8,73.5
"83",963.9,129.9,99.3,92.8
"84",969.7,121.2,98.8,85.2
"85",555.5,122.1,97.7,90.8
"86",834.8,109.6,96.4,85.6
"87",1003.1,109.4,98.3,78.3
"88",892.5,100.7,99.2,91.3
"89",960.2,124.6,97.8,96
"90",976.9,112.9,97,81.4
"91",925.7,96.4,99.3,67.5
"92",971.2,129.5,99.2,91.1
"93",1030.5,102.4,96.3,95.9
"94",1044,134.4,96.6,83.3
"95",885.4,123.4,99,76.5
"96",933.3,128.8,97,67.2
"97",897.6,126.9,98.2,101.4
"98",851.3,129.9,96.4,94.8
"99",1020.8,133.4,97,79.3
"100",858.2,144.8,97.8,92.1
"101",947.5,137.4,96.5,65.6
"102",847.4,123.9,97.3,82.2
"103",819.7,128.8,98.3,86.2
"104",964.4,135,99,91.9
"105",879.8,126.8,96.5,99.5
"106",750.3,127.6,96.6,87.8
"107",917.8,139.6,98.9,86.7
"108",943.8,132.4,98.4,81.7
"109",899.1,135.5,96.6,70.5
"110",839.1,145.2,96.3,72.2
"111",853,103.6,97.1,79.2
"112",936.4,138.9,97.2,97.1
"113",895.9,132.2,98.8,70.6
"114",929,126.8,98.9,82.8
"115",775.9,118,97.7,80.1
"116",809.7,151.3,96.7,80.6
"117",902.7,128.1,98.6,79.3
"118",874.4,144.9,97.2,80.3
"119",936.5,112.3,97.7,83.6
"120",977.6,108.3,96.1,85
