"","site","rainfall"
"1",1,10.44
"2",1,20.51
"3",1,-1.67
"4",1,21.98
"5",1,7.62
"6",1,14.5
"7",1,15.08
"8",1,18.46
"9",1,30.69
"10",1,18.41
"11",1,7.79
"12",1,2.91
"13",1,19.3
"14",1,14.65
"15",1,21.78
"16",1,18.14
"17",1,10.98
"18",1,8.17
"19",1,11.21
"20",1,12.63
"21",1,30.79
"22",1,16.05
"23",1,16.05
"24",1,41.32
"25",1,2.18
"26",1,12.57
"27",1,17.73
"28",1,-2.92
"29",1,1.13
"30",1,16.18
"31",1,2.81
"32",2,4.28
"33",2,20.19
"34",2,22.1
"35",2,28.59
"36",2,13.46
"37",2,22.39
"38",2,12.08
"39",2,7.33
"40",2,22.73
"41",2,12.29
"42",2,40.62
"43",2,13.28
"44",2,3.48
"45",2,26.77
"46",2,26.5
"47",2,7.16
"48",2,32.34
"49",2,24.89
"50",2,20.06
"51",2,31.59
"52",2,19.66
"53",2,16.6
"54",2,14.4
"55",2,9.32
"56",2,30.67
"57",2,5.14
"58",2,3.33
"59",2,9.99
"60",2,19.2
"61",2,31.19
"62",2,29.74
