,rain_mm
275055,123.0
275056,0.0
275057,0.0
275058,0.0
275059,143.0
275060,0.0
275061,0.0
275062,0.0
275063,24.0
275064,0.0
275065,0.0
275066,5.0
275067,0.0
275068,50.0
275069,0.0
275070,0.0
275071,10.0
275072,0.0
275073,0.0
275074,0.0
275075,0.0
275076,5.0
275077,0.0
275078,0.0
275079,0.0
275080,0.0
275081,0.0
275082,50.0
275083,0.0
275084,0.0
275085,0.0
275086,32.0
275087,26.0
275088,0.0
275089,0.0
275090,0.0
275091,89.0
275092,0.0
275093,0.0
275094,145.0
275095,0.0
275096,0.0
275097,0.0
275098,179.0
275099,0.0
275100,0.0
275101,0.0
275102,181.0
275103,0.0
275104,23.0
275105,0.0
275106,227.0
275107,0.0
275108,0.0
275109,0.0
275110,66.0
275111,0.0
275112,23.0
275113,37.0
275114,0.0
275115,0.0
275116,20.0
275117,0.0
275118,0.0
275119,0.0
275120,0.0
275121,0.0
275122,384.0
275123,0.0
275124,26.0
275125,0.0
275126,0.0
275127,57.0
275128,0.0
275129,0.0
275130,0.0
275131,0.0
275132,0.0
275133,5.0
275134,23.0
275135,0.0
275136,12.0
275137,0.0
275138,0.0
275139,0.0
275140,0.0
275141,0.0
275142,0.0
275143,0.0
275144,0.0
275145,0.0
275146,0.0
275147,10.0
275148,0.0
275149,29.0
275150,54.0
275151,51.0
275152,0.0
275153,0.0
275154,0.0
275155,0.0
275156,0.0
275157,5.0
275158,89.0
275159,0.0
275160,0.0
275161,0.0
275162,0.0
275163,0.0
275164,96.0
275165,0.0
275166,0.0
275167,0.0
275168,19.0
275169,0.0
275170,30.0
275171,0.0
275172,0.0
275173,0.0
275174,21.0
275175,65.0
275176,0.0
275177,276.0
275178,0.0
275179,16.0
275180,0.0
275181,0.0
275182,0.0
275183,0.0
275184,0.0
275185,0.0
275186,0.0
275187,28.0
275188,0.0
275189,0.0
275190,135.0
275191,0.0
275192,0.0
275193,0.0
275194,0.0
275195,0.0
275196,0.0
275197,6.0
275198,0.0
275199,0.0
275200,6.0
275201,0.0
275202,0.0
275203,0.0
275204,0.0
275205,0.0
275206,0.0
275207,0.0
275208,0.0
275209,0.0
275210,0.0
